コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
実行管理	階層実行ステータス	""	階層setup/teardownを実行する	Started	run / scenario / bizdate / process の各階層の実行状況を管理する状態モデル。内蔵ランナーが直接実行する各階層の setup（実行ジャーナルへの開始イベント記録）で実行が開始され Started になる。テスト結果確認者が階層単位の成否を把握するために必要となる
実行管理	階層実行ステータス	""	プロセスを実行する	Started	process 階層は内蔵ランナーによるプロセス実行の setup（実行ジャーナルへの開始イベント記録）で Started になる
実行管理	階層実行ステータス	Started	階層setup/teardownを実行する	Success	全タスク正常終了時の teardown（正常経路）で Success に確定する。実行ジャーナルの終了イベントとして記録され、stfw status / stfw report とスパンステータス・属性（OTLP トレース）に投影される
実行管理	階層実行ステータス	Started	プロセスを実行する	Success	process 階層はリターンコード 0 の teardown で Success に確定する
実行管理	階層実行ステータス	Started	階層setup/teardownを実行する	Error	タスクのエラー発生時に内蔵ランナーがエラー経路の teardown を実行し Error に確定する。エラー時停止のビジネスポリシーを担保し、失敗の検知と調査の起点になる。Error はスパンステータス Error として OTLP トレースに投影される
実行管理	階層実行ステータス	Started	プロセスを実行する	Error	process 階層はリターンコード 0 以外の teardown で Error に確定する
実行管理	階層実行ステータス	Success	""	""	Success は終了状態であり、以降の遷移はない。再実行は「シナリオを実行する」による新しい run_id の別の実行として扱う
実行管理	階層実行ステータス	Error	""	""	Error は終了状態であり、以降の遷移はない。失敗調査とシナリオ修正のうえ、再実行は「シナリオを実行する」による新しい run_id の別の実行として扱う
シナリオ構造管理	ステップ実行ステータス	""	プロセスを実行する	Pending	プロセス内スクリプト（ステップ）単位の実行結果を管理する状態モデル。内蔵ランナーがプロセス開始時に scripts/ 直下の全スクリプトを Pending（未実行）として列挙する（実行ジャーナルの steps_enumerated イベント）。実行順序の保証と失敗箇所の特定のために必要となる
シナリオ構造管理	ステップ実行ステータス	Pending	プロセスを実行する	Success	スクリプトがファイル名昇順の逐次実行で正常終了（リターンコード 0）すると Success になる
シナリオ構造管理	ステップ実行ステータス	Pending	プロセスを実行する	Error	スクリプトが異常終了（リターンコード 0 以外）すると Error になり、プロセスはエラー停止する。該当 step スパンのスパンステータスは Error として OTLP トレースに投影される
シナリオ構造管理	ステップ実行ステータス	Pending	プロセスを実行する	Blocked	先行スクリプトのエラーにより未実行のままスキップされたスクリプトは Blocked として記録される。エラー時に後続を実行しないビジネスポリシーの担保と、未実行範囲の特定に必要となる。Blocked は step スパンの属性で表現される
シナリオ構造管理	ステップ実行ステータス	Success	""	""	Success は終了状態であり、結果はステップ実行結果として実行ジャーナルと step スパンの属性（OTLP トレース）に投影される
シナリオ構造管理	ステップ実行ステータス	Error	""	""	Error は終了状態であり、結果はステップ実行結果として実行ジャーナルと step スパンの属性（OTLP トレース）に投影され、失敗箇所の特定に使われる
シナリオ構造管理	ステップ実行ステータス	Blocked	""	""	Blocked は終了状態であり、結果はステップ実行結果として実行ジャーナルと step スパンの属性（OTLP トレース）に投影され、未実行範囲の把握に使われる
